trial_id,timestamp,robot_x,robot_y,robot_theta,robot_v,robot_omega,energy_cumulative,clearance,obstacle_density,method,environment
sim_PIEC_001,0.03,5.920281022970003e-20,3.6554313138616836e-19,1.9466009697380402e-20,-0.002895972605631286,-0.0002665646483085378,2.3133236890728265e-07,0.0,0.0,PIEC,corridor
sim_PIEC_001,0.079,3.6674949477490675e-19,1.4465444742333057e-18,6.655206045011087e-20,0.0008938742228621526,0.0001772844369673883,3.5382157593822846e-07,0.0,0.0,PIEC,corridor
sim_PIEC_001,0.13,1.16467051556346e-18,4.164318659141046e-18,1.9993723374336743e-19,0.0010704165746432863,0.00011424767606449446,4.295755504744256e-07,0.0,0.0,PIEC,corridor
sim_PIEC_001,0.179,2.320260999988118e-18,6.669450376736916e-18,3.111108471073787e-19,-0.00012406877949214034,0.00022750914998851706,5.049768517348963e-07,6.8482136726379395,0.0,PIEC,corridor
sim_PIEC_001,0.229,4.329447568157206e-14,-1.1237505448264773e-10,-2.1792845672726993e-14,0.000634745245131777,0.00034382942368232623,5.475178078858814e-07,2.4619646072387695,0.0,PIEC,corridor
sim_PIEC_001,0.279,5.807270142001768e-14,-1.3579132961430676e-10,-1.0525181258361979e-13,0.000561580714948338,0.001374185502953024,7.276596707657844e-07,2.4619646072387695,0.0,PIEC,corridor
sim_PIEC_001,0.329,6.790941784139117e-14,-1.7173261619267288e-10,-2.3065802191995186e-13,0.001820498123442521,0.0005524800514233143,8.709067292822183e-07,2.46114444732666,0.0,PIEC,corridor
sim_PIEC_001,0.379,1.0343006794631504e-13,-1.9699643886456146e-10,-3.1524970633264897e-13,-0.00012250404812108015,5.2617919297703866e-05,8.773390916327931e-07,2.46114444732666,0.0,PIEC,corridor
sim_PIEC_001,0.429,1.152456861363344e-13,-2.507389895231572e-10,-4.4464265558559477e-13,0.0006749227061702105,-0.00137236285061592,1.0287216875154856e-06,2.46114444732666,0.0,PIEC,corridor
sim_PIEC_001,0.479,4.683769356457201e-14,-3.010064979645233e-10,-5.346435667889136e-13,0.0013778750798102075,-0.002048738730820729,1.4788808487583995e-06,2.46114444732666,0.0,PIEC,corridor
sim_PIEC_001,0.529,-2.178258551436572e-14,-3.84925799704598e-10,-6.727404633817139e-13,0.00020093301106922579,-0.00146898170283489,1.5400003498925643e-06,2.46114444732666,0.0,PIEC,corridor
sim_PIEC_001,0.579,7.88682292274233e-14,-4.670886290490943e-10,-7.719815556580495e-13,0.0009186841405309637,0.00023109606048505227,1.6637257204130772e-06,2.46114444732666,0.0,PIEC,corridor
sim_PIEC_001,0.629,3.4322626264634847e-13,-6.085939258117975e-10,-9.26390733192251e-13,-0.0015742239919607458,0.0015681890338977952,1.8911576141120404e-06,2.4609532356262207,0.0,PIEC,corridor
sim_PIEC_001,0.679,5.741085863347205e-13,-7.019896037138439e-10,-1.031495680955483e-12,-0.00041294365085787577,0.0004261613054153772,1.921340368442946e-06,2.4609532356262207,0.0,PIEC,corridor
sim_PIEC_001,0.729,1.1565347026976007e-13,-9.240440064264597e-10,-1.1926632290492908e-12,-0.0009209939820349973,-0.0021471432627283155,2.2867989707239393e-06,2.4605791568756104,0.0,PIEC,corridor
sim_PIEC_001,0.779,-4.464850956006856e-12,-1.6817003744711818e-07,-2.1826734901774576e-12,-0.000537536743373438,0.0004857613901517548,2.299184592546308e-06,2.4605791568756104,0.0,PIEC,corridor
sim_PIEC_001,0.829,9.661835221521047e-12,-2.761226891170994e-06,4.418441565720692e-10,0.001942859043030426,0.00014157864616948096,2.4246831706674132e-06,2.4605791568756104,0.0,PIEC,corridor
